junction_name,cis_mean,violation_count,lat,lon,validated_pct,predicted_stress_next_h,historical_peak_stress,spillover_centrality,recency_score,quality_bonus,priority_score,rank,patrol_stop,officer_assigned,route_km
BTP042 - Minsk Square Junction (CTO),1.18171927592955,2044,12.981175736986302,77.59845689202544,0.8796477495107632,0.0858,1.0,0.013059365825254557,0.9637441397854837,0.04398238747553816,0.2939,159,,,
BTP020 - Hosahalli Metro Station,1.1770563033406487,4101,12.97414419858571,77.54529421309437,0.8944159960985125,0.095,1.0,0.012383991022013825,0.9386439288677416,0.04472079980492563,0.2913,160,,,
BTP068 - Veeresh Theatre Junction,1.3710045634920636,504,12.977227481944444,77.54562137718254,0.9027777777777778,0.1419,1.0,0.0034345009264042017,0.9778586351322984,0.045138888888888895,0.2847,161,,,
"BTP033 - Sophia High School, Sankey Road",1.2134072115384615,208,12.990444546153846,77.58866545673077,0.9326923076923077,0.1634,1.0,0.0034345009264042017,0.9773588300562781,0.046634615384615385,0.2693,162,,,
BTP032 - Windsor Circle,1.2556228810476537,2749,12.99308791268715,77.58818366254266,0.8715896689705347,0.1318,1.0,0.005123501837898031,0.9776887014064515,0.04357948344852674,0.2687,163,,,
BTP172 - Nanjappa Circle,1.2023367268041236,776,12.961702129381443,77.59948909484535,0.8324742268041238,0.1063,1.0,0.00908826215808157,0.9314167474684873,0.04162371134020619,0.2684,164,,,
"BTP101 - Blood Bank Circle, KH Road",0.8754751219512195,410,12.961947537560976,77.59617864317073,0.7121951219512195,0.3469,1.0,0.004668054423911614,0.9019482401863274,0.03560975609756097,0.2631,165,,,
"BTP190 - 36th Cross, 4th Main, Jayanagar",1.0837124137931033,145,12.922585208123428,77.5812768107059,0.8275862068965517,0.2164,1.0,0.004802042252205627,0.9361349073861194,0.041379310344827586,0.2624,166,,,
"BTP186 - 9th Cross, 4th Main, Jayanagar",1.2744945054945056,546,12.939329417176364,77.58299607614546,0.7051282051282052,0.1495,1.0,0.004869552723557745,0.992902767920511,0.03525641025641026,0.2598,167,,,
BTP041 - Gopal Gowda Circle,1.2234092592592591,378,12.977295857671956,77.59026518835978,0.791005291005291,0.0923,1.0,0.00458955007846373,0.9867151810793791,0.03955026455026456,0.2338,168,,,
Unknown,2.77334,5,12.976421199999999,77.58518606,0.6,0.0,0.0,0.011564258419470185,,0.03,,169,,,
